Span:,-30,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Fx,Min,dlc14_U11,139301348.4,-272710562.4,306228535.2,53853244.2,-1326122.296875,-790481.278125,1543846.1625,-29963657.7,1.35
Fy,Max,dlc61_U50_Ym8_278,-663951859.2,121589629.2,674993390.4,-41642920.8,1810953.7875,4380390.225,4739975.8875,-29247380.1,1.35
Fy,Min,dlc61_U50_Yp8_37,610654939.2,-83193161.4,616295865.6,44409810.6,545579.6765625,-4033429.7625,4070161.2375,-29563639.2,1.35
Fxy,Max,dlc13_U18_Ym10_353,28402358.4,612625334.4,613283356.8,-20933549.55,4768850.3625,-535728.3890625,4798847.7,-30381704.1,1.35
Fxy,Min,dlc64_U04_Ym8_677,-138582.5625,-74769080,74769208,47112.41015625,6.89053773880005,-20.3364696502686,21.472110748291,-22194986,1
Fz,Max,dlc64_U34_Yp8_669,89945064,27115366,93943376,10995073,652564.5,-544930,850170,-21412628,1
Fz,Min,dlc13_U26_Yp10_839,41482049.4,186067216.8,190635163.2,50205706.2,2997594.675,542893.3875,3046359.7125,-31760337.6,1.35
Span:,-9.8999996,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,610251840,-83247885,615903825.6,44409594.6,546006.65625,-4030824.9375,4067637.075,-29546715.6,1.35
Mx,Min,dlc61_U50_Ym8_278,-663514156.8,121408426.8,674530243.2,-41642675.1,1810516.89375,4377553.5375,4737187.8,-29230445.7,1.35
My,Max,dlc13_U20_Yp10_82,24173334.9,618263452.8,618735844.8,5592767.5125,4594352.0625,-48156.008203125,4594604.175,-30666411,1.35
My,Min,dlc14_U11,143408545.2,-274454805.6,309663432,52565079.6,-1299174.609375,-827345.896875,1540245.375,-29975697,1.35
Mxy,Max,dlc61_U50_Ym8_278,-662872075.2,129817069.2,675464184,-40474398.6,1905155.94375,4365746.1,4763334.9375,-29309083.2,1.35
Mxy,Min,dlc11_U06_Yp10_680,19855.8618164063,6425.24475097656,20869.5703125,-2968752.8125,561715.4296875,46853.662109375,563666.1328125,-27737617.5,1.25
Mz,Max,dlc13_U24_Yp10_735,52060217.4,26249607.9,58303584,82421982,1052927.859375,367599.009375,1115251.5375,-30739891.5,1.35
Mz,Min,dlc13_U24_Ym10_735,-21365117.55,37799792.1,43419955.5,-90451263.6,750582.7875,361393.2703125,833054.371875,-29405786.4,1.35
Fx,Max,dlc13_U18_Ym10_353,784115.521875,613222488,613223006.4,-18745484.4,4783873.8375,221772.15703125,4789011.6,-30578042.7,1.35
Fx,Min,dlc14_U11,139222292.4,-272578111.2,306074613.6,53853228,-1324951.171875,-789901.2,1542543.075,-29946771.9,1.35
Fy,Max,dlc61_U50_Ym8_278,-663514156.8,121408426.8,674530243.2,-41642675.1,1810516.89375,4377553.5375,4737187.8,-29230445.7,1.35
Fy,Min,dlc61_U50_Yp8_37,610251840,-83247885,615903825.6,44409594.6,546006.65625,-4030824.9375,4067637.075,-29546715.6,1.35
Fxy,Max,dlc13_U18_Ym10_353,28348617.6,612148665.6,612804700.8,-20933307.9,4766207.0625,-535587.69375,4796205.4125,-30364775.1,1.35
Fxy,Min,dlc64_U04_Yp8_988,86735.5625,-74781864,74781912,68226.484375,-14.717173576355,-4.42809820175171,15.3689050674438,-22177230,1
Fz,Max,dlc64_U34_Yp8_669,89890624,27050124,93872432,10995075,652471.125,-544553.9375,849857.375,-21400126,1
Fz,Min,dlc13_U26_Yp10_839,41536589.4,185767279.2,190354320,50205619.8,2996787.7125,543045.9375,3045592.575,-31743454.5,1.35
Span:,-5,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
